ORF	cluster	gene_name
YDR393W	mitochondrion_GO_2	SHE9
YGR101W	mitochondrion_GO_2	PCP1
YGR174C	mitochondrion_GO_2	CBP4
YGR231C	mitochondrion_GO_2	PHB2
YHR189W	mitochondrion_GO_2	PTH1
YHR194W	mitochondrion_GO_2	MDM31
YKL166C	mitochondrion_GO_2	TPK3
YKR065C	mitochondrion_GO_2	PAM17
YLL001W	mitochondrion_GO_2	DNM1
YNL070W	mitochondrion_GO_2	TOM7
YOR266W	mitochondrion_GO_2	PNT1
YOR297C	mitochondrion_GO_2	TIM18
YPR024W	mitochondrion_GO_2	YME1
YAL010C	mitochondrion_GO_1	MDM10
YAL048C	mitochondrion_GO_1	GEM1
YBL021C	mitochondrion_GO_1	HAP3
YBL103C	mitochondrion_GO_1	RTG3
YCR028C-A	mitochondrion_GO_1	RIM1
YDR512C	mitochondrion_GO_1	EMI1
YFL036W	mitochondrion_GO_1	RPO41
YGL219C	mitochondrion_GO_1	MDM34
YKL053C-A	mitochondrion_GO_1	MDM35
YKL109W	mitochondrion_GO_1	HAP4
YLR091W	mitochondrion_GO_1	GEP5
YMR060C	mitochondrion_GO_1	SAM37
YMR282C	mitochondrion_GO_1	AEP2
YNL037C	mitochondrion_GO_1	IDH1
YNL315C	mitochondrion_GO_1	ATP11
YNR020C	mitochondrion_GO_1	ATP23
YOL009C	mitochondrion_GO_1	MDM12
YOL027C	mitochondrion_GO_1	MDM38
YOR043W	mitochondrion_GO_1	WHI2
YOR065W	mitochondrion_GO_1	CYT1
YOR330C	mitochondrion_GO_1	MIP1
YOR358W	mitochondrion_GO_1	HAP5
YAL011W	chromatin_GO_8	SWC3
YBR231C	chromatin_GO_8	SWC5
YBR245C	chromatin_GO_8	ISW1
YCR082W	chromatin_GO_8	AHC2
YDL070W	chromatin_GO_8	BDF2
YDR334W	chromatin_GO_8	SWR1
YDR485C	chromatin_GO_8	VPS72
YER174C	chromatin_GO_8	GRX4
YGR056W	chromatin_GO_8	RSC1
YGR270W	chromatin_GO_8	YTA7
YKR101W	chromatin_GO_8	SIR1
YLR085C	chromatin_GO_8	ARP6
YLR095C	chromatin_GO_8	IOC2
YML041C	chromatin_GO_8	VPS71
YOL012C	chromatin_GO_8	HTZ1
YAL013W	chromatin_GO_7	DEP1
YBR095C	chromatin_GO_7	RXT2
YBR103W	chromatin_GO_7	SIF2
YCR033W	chromatin_GO_7	SNT1
YDR176W	chromatin_GO_7	NGG1
YDR392W	chromatin_GO_7	SPT3
YGL194C	chromatin_GO_7	HOS2
YIL084C	chromatin_GO_7	SDS3
YIL112W	chromatin_GO_7	HOS4
YKR029C	chromatin_GO_7	SET3
YLR055C	chromatin_GO_7	SPT8
YLR418C	chromatin_GO_7	CDC73
YMR263W	chromatin_GO_7	SAP30
YNL097C	chromatin_GO_7	PHO23
YOL004W	chromatin_GO_7	SIN3
YPL181W	chromatin_GO_7	CTI6
YDR440W	chromatin_GO_6	DOT1
YEL061C	chromatin_GO_6	CIN8
YER016W	chromatin_GO_6	BIM1
YER030W	chromatin_GO_6	CHZ1
YGL216W	chromatin_GO_6	KIP3
YJL168C	chromatin_GO_6	SET2
YJR053W	chromatin_GO_6	BFA1
YJR082C	chromatin_GO_6	EAF6
YML124C	chromatin_GO_6	TUB3
YMR055C	chromatin_GO_6	BUB2
YMR075W	chromatin_GO_6	RCO1
YNL136W	chromatin_GO_6	EAF7
YOR058C	chromatin_GO_6	ASE1
YOR191W	chromatin_GO_6	ULS1
YPL184C	chromatin_GO_6	MRN1
YPL253C	chromatin_GO_6	VIK1
YPL269W	chromatin_GO_6	KAR9
YPR023C	chromatin_GO_6	EAF3
YAR018C	chromatin_GO_5	KIN3
